section,lat,lng,unit_PRICE,PRICE,health,total_size,land_size,n_land,n_build,n_park,district_id,date,built_date,floor,total_floor,build_state,use,is.comp,is.manage,is.furn,n_room,n_hall,n_bath
2015Q1,25.0545318,121.5230594,299,56e3,0,187.33,0,0,1,0,11,2014-10-31,1977-10-26,4,7,6,-1,FALSE,FALSE,FALSE,0,0,0
2015Q1,25.0290837,121.5628576,473,5e4,1,105.77,21.57,1,1,0,10,2014-10-11,1981-09-07,1,7,3,-1,TRUE,TRUE,FALSE,0,0,1
2015Q1,25.05117,121.520123,1247,145600,0,116.76,0,0,2,0,3,2014-10-31,NA,1,4,3,-1,FALSE,FALSE,FALSE,0,0,0
2015Q1,25.048493,121.5187377,509,24e3,1,47.19000000000001,9.27,0,1,0,3,2014-10-27,2009-07-24,7,18,10,-1,TRUE,TRUE,TRUE,0,0,1
2015Q1,25.1067274,121.5247651,395,65675,1,166.32,0,0,1,1,6,2014-10-30,2008-10-02,4,15,10,-1,TRUE,TRUE,TRUE,3,1,1
2015Q1,25.0258269,121.553216,624,76e3,1,121.84,0,0,1,0,2,2014-10-27,NA,1,5,5,-1,TRUE,FALSE,TRUE,2,0,1
2015Q1,25.04404,121.552707,321,42e3,2,130.89,0,0,1,0,2,2014-10-30,1986-12-29,4,7,6,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.0246281,121.5516898,317,37e3,1,116.81,116.81,0,1,0,2,2014-10-17,1980-11-17,4,12,1,-1,TRUE,TRUE,FALSE,2,1,1
2015Q1,25.0292693,121.5395725,269,33e3,2,122.66,0,0,1,0,2,2014-10-30,1972-09-08,4,6,6,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.0363155,121.5461729,747,25e3,1,33.48,0,0,1,0,2,2014-10-31,2008-10-28,3,12,10,-1,TRUE,TRUE,TRUE,1,1,1
2015Q1,25.051347,121.522657,1235,6e5,1,485.84,145,2,1,0,11,2014-09-03,NA,-1,4,9,-1,TRUE,FALSE,TRUE,1,4,1
2015Q1,25.045451,121.513395,210,35e3,1,166.69,333.38,1,1,0,12,2014-11-01,NA,3,4,5,-1,TRUE,FALSE,TRUE,1,1,1
2015Q1,25.048493,121.5187377,502,36e3,1,71.75,0,0,1,0,3,2014-10-31,2009-07-24,14,18,10,-1,TRUE,TRUE,TRUE,2,1,1
2015Q1,25.0360636,121.52785540000001,203,35e3,1,172.43,0,0,1,0,12,2014-10-03,1980-11-05,1,7,6,-1,TRUE,FALSE,TRUE,0,1,1
2015Q1,25.0410478,121.619879,168,24e3,2,142.6,0,1,1,1,4,2014-11-02,1999-12-06,2,9,6,-1,TRUE,TRUE,TRUE,3,2,2
2015Q1,25.041004,121.577475,334,28889,0,86.57000000000002,0,0,1,0,10,2014-10-20,1993-05-14,1,17,1,-1,FALSE,FALSE,TRUE,0,0,0
2015Q1,25.0636359,121.533545,262,25e3,0,95.53,0,0,1,0,11,2014-11-01,1991-04-12,5,7,6,-1,FALSE,FALSE,FALSE,0,0,0
2015Q1,25.0582153,121.524294,613,4e4,1,65.26,0,0,1,0,11,2014-10-31,2006-10-12,12,12,10,-1,TRUE,TRUE,TRUE,1,1,1
2015Q1,25.06417,121.5245646,578,38500,1,66.59,0,0,1,0,11,2014-10-23,2013-12-31,7,11,10,-1,TRUE,TRUE,TRUE,1,1,1
2015Q1,25.0601572,121.6012437,239,185225,0,775.3399999999998,0,0,0,5,5,2014-10-28,2006-07-13,1,6,2,-1,FALSE,TRUE,FALSE,0,0,0
2015Q1,25.082885,121.5618128,509,52e3,1,102.07,0,0,1,0,11,2014-10-31,2010-12-01,5,10,6,-1,TRUE,TRUE,TRUE,1,1,1
