"pre_region","pre_usage","pre_area","pre_age","pre_type","pre_n_room","pre_n_hall","pre_n_bath","pre_is_comp","pre_is_manage","pre_is_furn","lat","lng"
"12","1","50","10","1","1","1","1","FALSE","FALSE","FALSE","25.050574387391","121.543852105751"
"12","1","50","10","1","1","1","1","FALSE","FALSE","FALSE","25.0493885878225","121.547606668744"
"12","1","50","10","1","1","1","1","FALSE","FALSE","FALSE","25.0493885878225","121.547606668744"
"12","1","50","10","1","1","1","1","FALSE","FALSE","FALSE","25.0493885878225","121.547606668744"
"12","1","50","10","1","1","1","1","FALSE","FALSE","FALSE","25.051313076406","121.556083332329"
"12","1","50","10","1","1","1","1","FALSE","FALSE","FALSE","25.0540734012232","121.54505380472"
"12","1","50","10","1","1","1","1","FALSE","FALSE","FALSE","25.0511770024482","121.546834162997"
"12","1","50","10","1","1","1","1","FALSE","FALSE","FALSE","25.0507687796686","121.545397157024"
"12","1","50","10","1","1","1","1","FALSE","FALSE","FALSE","25.0477362250351","121.546384192893"
"12","1","50","10","1","1","1","1","FALSE","FALSE","FALSE","25.0477362250351","121.546384192893"
"12","1","50","10","1","1","1","1","FALSE","FALSE","FALSE","25.0507687796686","121.557242062535"
"12","3","50","10","1","1","1","1","FALSE","FALSE","FALSE","25.0507687796686","121.557242062535"
"2","1","50","2","5","2","2","1","FALSE","TRUE","FALSE","25.0295393222459","121.531193247566"
"2","1","50","5","6","3","2","2","FALSE","TRUE","TRUE","25.0281394486841","121.533081793214"
